name,desc,latitude,longitude,color,url
Alpenbirkenzeisige,Samstag 26. November 2022,52.06805555555556,8.568055555555555,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73340190,504
Alpenbirkenzeisige,Samstag 26. November 2022,52.068172,8.357333,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73329857,504
Alpenbirkenzeisige,Samstag 26. November 2022,50.76111111111111,8.057222222222222,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73343457,504
Alpenbirkenzeisig,Samstag 26. November 2022,50.36794,6.604882,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73342375,504
Alpenbirkenzeisige,Freitag 25. November 2022,52.308931,8.05092,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73315201,504
Alpenbirkenzeisige,Donnerstag 24. November 2022,54.331714,10.134674,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73308539,504
Alpenbirkenzeisige,Donnerstag 24. November 2022,54.161944444444444,13.398333333333333,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73308517,504
Alpenbirkenzeisige,Donnerstag 24. November 2022,52.348593,9.777831,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73300349,504
Alpenbirkenzeisige,Donnerstag 24. November 2022,52.46190000000001,9.360277777777778,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73312156,504
Alpenbirkenzeisig,Donnerstag 24. November 2022,51.16555555555556,9.115,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73312475,504
Alpenbirkenzeisige,Donnerstag 24. November 2022,49.562728680712,7.076203352799,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73302792,504
Alpenbirkenzeisige,Mittwoch 23. November 2022,53.493669,10.131808,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73294110,504
Alpenbirkenzeisige,Mittwoch 23. November 2022,53.417978,10.178298,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73294160,504
Alpenbirkenzeisige,Mittwoch 23. November 2022,50.330404,8.627195,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73292475,504
Alpenbirkenzeisige,Mittwoch 23. November 2022,50.07239225204088,8.876941576116833,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73296615,504
Alpenbirkenzeisige,Dienstag 22. November 2022,52.58899012050118,11.9195020711133,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73279162,504
Alpenbirkenzeisige,Dienstag 22. November 2022,52.59133916849117,11.949069073988566,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73279122,504
Alpenbirkenzeisig,Dienstag 22. November 2022,50.760511111111114,8.057222222222222,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73281188,504
Alpenbirkenzeisige,Montag 21. November 2022,51.34444444444445,8.290555555555555,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73255847,504
Alpenbirkenzeisige,Montag 21. November 2022,50.312674,8.619539,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73258889,504
Alpenbirkenzeisige,Montag 21. November 2022,50.077733333333335,8.88,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73257885,504
Alpenbirkenzeisige,Montag 21. November 2022,49.311388888888885,7.174166666666667,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73268724,504
Alpenbirkenzeisige,Sonntag 20. November 2022,53.171617,8.281157,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73244871,504
Alpenbirkenzeisige,Sonntag 20. November 2022,51.930707,8.683504,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73228047,504
Alpenbirkenzeisige,Sonntag 20. November 2022,50.213255,6.980419,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73236649,504
Alpenbirkenzeisig,Sonntag 20. November 2022,50.368821,6.604536,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73228713,504
Alpenbirkenzeisig,Sonntag 20. November 2022,50.505,7.4366666666666665,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73341938,504
Alpenbirkenzeisige,Samstag 19. November 2022,54.331712,10.134715,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73224500,504
Alpenbirkenzeisige,Samstag 19. November 2022,52.398164,10.551699,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73204449,504
Alpenbirkenzeisige,Samstag 19. November 2022,52.462292,9.358911,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73211076,504
Alpenbirkenzeisige,Samstag 19. November 2022,53.163221,8.183534,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73211420,504
Alpenbirkenzeisige,Samstag 19. November 2022,52.30902166373044,8.050619512394345,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73207357,504
Alpenbirkenzeisig,Samstag 19. November 2022,50.1575,8.780000000000001,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73254749,504
Alpenbirkenzeisig,Samstag 19. November 2022,50.366936,6.603752,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73214818,504
Alpenbirkenzeisige,Samstag 19. November 2022,48.54683583363627,9.117161062514521,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73257159,504
Alpenbirkenzeisige,Freitag 18. November 2022,54.52861111111111,11.088333333333335,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73195360,504
Alpenbirkenzeisige,Donnerstag 17. November 2022,54.331719,10.134723,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73188399,504
Alpenbirkenzeisige,Donnerstag 17. November 2022,50.06991111111112,8.876666666666667,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73185872,504
Alpenbirkenzeisige,Mittwoch 16. November 2022,54.331707,10.134729,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73179493,504
Alpenbirkenzeisige,Mittwoch 16. November 2022,51.93705,8.666346,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73173094,504
Alpenbirkenzeisige,Dienstag 15. November 2022,54.331739,10.134694,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73161618,504
Alpenbirkenzeisige,Dienstag 15. November 2022,52.575717,10.673819,darkgreen,https://www.ornitho.de/index.php?m_id=54&id=73160209,504
